renters,description
Toko Alat Safety Di Jakarta,"Kotak Obat P3K type A Standar tempat kerja Kotak P3K (Jenis kotak A standard), merupakan kotak P3K untuk 25 orang karyawan atau kurang. Sesuai dengan peraturan Menteri Tenaga Kerja dan Transmigrasi No. PER.15/MEN/VIII/2008, tentang Pertolongan Pertama pada Kecelakaan di tempat kerja. Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K, Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K, Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K, Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K, jenis A : - Kotak P3K Bahan Plastik - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh"
4Life Safety,"Refill Handmed isi dari kit p3k handmed,isi sudah lengkap sesuai list by doctor. refill ini hanya isi tanpa tas."
Toko Alat Safety Di Jakarta,"Kotak obat P3k dinding type B + isi Lengkap jual kotak p3k lengkap dengan isi murah di toko my safety Plastik box kite tipe B adalah Kotak yang berisi perban, sarung tangan, daftar isi dan buku panduan P3K, dll. Kotak P3K sudah seharusnya menjadi perlengkapan wajib di setiap tempat, karena sekecil apapun pertolongan pertama yang kita lakukan akan sangat berpengaruh ke jiwa orang tersebut. Kotak P3K ini Digunakan di perusahaan sesuai dengan Peraturan Menteri Tenaga Kerja dan Transmigrasi RI No:PER-15/MEN/VIII/2008 tentang P3K Di Tempat Kerja. Note Customer - Tanyakan ketersediaan stok melalui diskusi produk - Pastikan produk yang dibeli sudah benar, tidak bisa tukar / kembalikan - Wajib baca Catatan Smart Buyer dan Syarat Kondisi Jual Isi Obat P3K Type B termurah 1 Buku panduan P3K - 1 2 Kasa steril terbungkus - 40 pcs 3 Perban 10 cm - 4pcs/ roll 4. Perban 5 cm - 4 psc / roll 5. Plester Hansaplast Roll 1.25 6. Plester Cepat Hansaplast - 15 pcs 7. Kapas 25 gr - 2 pcs 8. Kain Segi Tiga Mitella - 4pcs 9. Gunting - 1 pcs 10. Sarung tangan pasangan - 3 pasang 11. Masker 1 pcs 12. Peniti - 12 PCS 13. Pinset - 1 pcs 14. Lampu Senter - 1 psc 15. Gelas Cuci Mata - 2 pcs 16. Kantong Plastik Bersih - 1PCS 17. yerins 1 pcs 18. Povidone Iodine 60 ml (Betadhine) - 1 fls 19. Alkohol 70 % - 1 fls 20. daftar isi 1 lembar"
Sarana Agung Safety,Kotak P3K Plastik Jinjing merk OneMed sudah lengkap dengan isinya. Isi: * 1 pc Plesterin Aqua amplop isi 10 * 1 pc Plesterin Elastis amplop isi 10 * 1 bh Povidone Iodine 15ml * 10 bh Alkohol Swabs * 2 roll Verban 10cm * 2 roll Verban 5cm * 1 bh gunting tumpul/tumoul * 1 pak ultrafix 2x10cm isi 8 * 1 pak kasa steril 785 * 1 roll medicrepe 4 inch * 5 bh masker karet earloop Onemed * 4 bh Glove Nitrile orange size M * 1 bh Aseptic gel 50ml Onemed * 1 bh kotak obat * 1 bh Kotak P3K13000
ekalkes&olshop,Kotak P3K Dinding bentuk kotak - Bahan Plastik Mika - Pintu transparan yang digeser. - Terdapat 3 rak - Dimensi pxlxt= 29x11.5x35 cm - Ada lubang untuk tempat paku
Pesona 9 Medika,"Kotak P3K Plastik Jinjing Family Kit Onemed Kotak P3K Plastik Jinjing merk OneMed sudah lengkap dengan isinya. Isi: * 2 amplop plesterin AA isi 10 PCs * 8 buah plesterin roll 2x20cm * 1 botol povidone iodine 60ml * 20 buah alcohol swab * 2 roll verban 10cm * 2 roll verban 5cm * 1 box ekaplast MIX * 2 pack kasa steril 585 * 2 pack kasa steril 785 * 1 roll medicrepe 4 inch * 1 pack masker OTC hijau (isi 5 pcs) * 1 buah pembalut siku mitella * 5 buah one wipe * 1 pack kapas bola steril * 1 buah thermo alpha 1 * 1 buah dressing forcep * 1 buah tong spatel plastik * 10 buah ekaplast soft BIG 5x7cm * 1 buah kotak P3K jinjing plastik BIG Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda. dimensi : 22X12X13 Satuan: set Untuk pengajuan komplain wajib menyertakan video unboxing paket. Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas menggunakan Box Onemed. Semua produk yang telah dibeli tidak dapat di retur, karena resiko kemasan rusak akibat kesalahan kurir pada saat pengiriman paket. Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi."
Pesona 9 Medika,"Obat Luka/Obat merah/Antiseptik sebagai pengobatan awal pada luka dan mencegah infeksi. -Mengandung Pov Iodine 10% -Formula mengandung stabilizer yang menjaga kelarutan dalam solvent sehingga konsentrasi tetap stabil -Mengandung bahan pelindung (coating film) -Tidak pedih pada luka karena formula pH balanced -Mencegah infeksi pada luka lecet, luka khitan, luka bakar ringan, melindungi luka setelah operasi dari kemungkinan infeksi. Kemasan: botol 60ml Untuk pengajuan komplain wajib menyertakan video unboxing paket. Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas menggunakan Box Onemed. Semua produk yang telah dibeli tidak dapat di retur, karena resiko kemasan rusak akibat kesalahan kurir pada saat pengiriman paket. Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi. Untuk pengajuan komplain wajib menyertakan video unboxing paket."
Pesona 9 Medika,"Kasa pouch steril ukuran 10x10, kasa sangat lembut dan berdaya serap tinggi, cocok digunakan untuk kebutuhan ruang operasi, perawatan luka, klinik keperawatan, kebidanan, maupun kedokteran, kebutuhan homecare.  Harga diatas merupakan harga per kemasan atau per pouch berisikan 5 pcs kasa lipat. #kasasterilterbaik #kasasteril #kasa homecare #klinik #perawatanluka #perawatanlukamodern"
Toko Alat Safety Di Jakarta,Isi Obat P3k Paket Hemat 1 ALKOHOL : 1 Pcs 2 POVIDONE : 1 Pcs 3 HANSAPLAS : 5 Pcs 4 Perban 5 Cm : 1 pcs 5 Kapas 25 g : 1 pcs 6 Kasa Steril : 1 box Isi = 10 pcs 7 Gunting Lipat : 1 pcs Belum Termasuk Kotak Biasakan baca deskripsi sebelum order agar tidak terjadi komplain terimkasih Stok Selalu Ready ya kak
LapakSpuit,"OneMed First Aid Kit Bag Red Set OneMed First Aid Kit Bag Red Set adalah tas P3K warna merah model dompet dengan tulisan putih, bahan kain, dengan sebuah sekat di satu sisinya. Praktis dan mudah dibawa kemana2.Bawa selalu di perjalanan dan kendaraan Anda, P3K set ini siap menolong Anda saat kecelakaan. Kelengkapan - Steril Pads (Kasa Steril) 5x5 cm 8 ply - One Swabs (Kapas Alkohol) - Verban 5cm - Dermafix T 5x7 cm (plester+pad non woven transparant) - Plesterin Bulat (plester+pad non woven diameter 2.2 cm) - Plesterin Anti Air (plester+pad non woven transparant) - Ecodine 10 ml (Obat luka) - Ultrafix 2.5cm x 1m (plester roll non woven) - Gunting"
Onemed Malang,"Kotak P3K untuk dinding bahan plastik mika tebal, jendela kaca transparan lebar, dengan 4 ruang di dalamnya Ukuran (pxlxt)=32x12x44cm satuan: bh NOMOR IZIN EDAR: FR.03.02/VA/0276/2018 Untuk pengajuan komplain wajib menyertakan video unboxing paket. Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas menggunakan Box Onemed. Semua produk yang telah dibeli tidak dapat di retur, karena resiko kemasan rusak akibat kesalahan kurir pada saat pengiriman paket. Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi. Untuk pengajuan komplain wajib menyertakan video unboxing paket."
Tanata Home Living,"""TANATA  Temukan Keindahan Hidup dari Ruman yang Nyaman✨ • • • DAICHI Penyimpanan Pertolongan Praktis Ukuran : 32.5 x 23 x 19.3cm Bahan : PP + PS Warna : 1. Krem 2. Putih - Serbaguna dan fungsional, bisa digunakan untuk obat-obatan dan P3K, peralatan buku dan alat tulis, perhiasan dan makeup, dan penyimpanan lainnya. - Bahan tebal dan berkapasitas besar bersekat. - Tersedia pegangan sehingga mudah untuk dibawa dan dipindahkan. - Pengunci tutup kuat dan adanya sekat untuk bagian tengah wadah. - Membantu dalam menyusun barang agar lebih tertata rapih dalam satu box sehingga mudah saat diperlukan/dicari kembali. • • • Penting untuk VIDEO UNBOXING paket untuk kamu komplain jika adanya kerusakan saat diterima. Pastikan produk yang divideokan jelas terekam agar mempermudah TANATA proses komplain kamu. Selamat belanja! 😊✨"""
Sarana Agung Safety,"ONEMED P3K dengan Tas/Pouch merah bahan kain, dengan sebuah sekat di satu sisinya. Praktis dan mudah dibawa kemana2. Bawa selalu di perjalanan dan kendaraan Anda. Kotak P3K merk OneMed sudah lengkap dengan isinya. Isi: - Steril Pads (Kasa Steril) 5x5 cm 8 ply - One Swabs (Kapas Alkohol) - Verban 5cm - Dermafix T 5x7 cm (plester+pad non woven transparant) - Plesterin Bulat (plester+pad non woven diameter 2.2 cm) - Plesterin Anti Air (plester+pad non woven transparant) - Ecodine 10 ml (Obat luka) - Ultrafix 2.5cm x 1m (plester roll non woven) - Gunting Ukuran : 15cm x 11cm Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda. Satuan: set NOMOR IZIN EDAR: FR.03.02/VA/0276/2018"
Essity Official Store,"Hypafix adalah plester penutup luka lebar yang dapat diandalkan, terbuat dari bahan non woven polyester yang mudah dan nyaman sehingga dapat digunakan di seluruh bagian tubuh dengan mobilitas tinggi sekalipun,  seperti bagian bahu, lutut, dan lainnya, dapat merekat fleksibel tapi tanpa takut menggulung. Komposisi: Non Woven Polyester dengan Perekat Poliakrilat Keunggulan : 1. Plester Putih Fiksasi No 1 di Indonesia, dikenal bermutu baik sejak lama di kalangan petugas Kesehatan dan juga masyarakat awam.  2. Mudah diaplikasikan : dilengkapi sengan split liner (pembuka tengah) dan grid (skala ukur) sehingga memudahkan pemotongan sesuai ukuran dan pemasangan sesuai tempat yang ditentukan. 3. Elastis dan fleksibel: paling elastis, sangat cocok bahkan di area persendian. Berbeda dengan produk lain sejenis yang pada umumnya tidak cukup fleksibel dan menggulung Ketika digunakan di area persendian. 4. Daya rekat kuat dan tidak mudah lepas. Jelas berbeda dengan produk lain sejenis di pasaran yang sering lepas. 5. Terbuat dari bahan yang hipoalergenik sehingga minimal risiko alergi No Reg: KEMENKES RI AKL 10902020290 Diproduksi oleh: BSN medical GmbH Hamburg, Germany Diimpor oleh: PT Essity Hygiene and Health Indonesia Green Office Park 6, Wing B, Lantai 1, Zona 8-12, BSD Green Office Park, BSD City, Tangerang, Banten  Untuk Fiksasi sirkuler, klik disini:  https://www.tokopedia.com/essity/elastomull-haft-perban-elastis-kohesif-1-roll-box Untuk Fiksasi alat/instrument, klik:  https://www.tokopedia.com/essity/leukoplast-dengan-ring-plester-coklat-rol-medis-1-rol Untuk Fiksasi kulit sensitive, klik:  https://www.tokopedia.com/essity/leukopor-plester-rol-kertas-rol"
Essity Official Store,"Plester coklat rol medis kuat dan dapat diandalkan, sudah ada di pasaran dunia lebih dari 120 tahun. Dapat digunakan untuk fiksasi sehari-hari. Keunggulan : -   Satu-satunya plester dengan pinggiran zig-zag, mudah disobek tanpaperlu gunting, aplikasi mudah dan cepat -   Perekat yang homogen di sepanjang plester, memastikan produk merekat kuat dan tidak mudah lepas Indikasi: -   Untuk fiksasi penutup luka pada kulit sehat (bukan langsung pada luka) -   Untuk fiksasi alat medis seperti tube, kateter, NGT, dan lain-lain Cara Penggunaan: 1. Gunting atau sobek Leukoplast sesuai ukuran yang dibutuhkan. 2. Pastikan area yang diaplikasikan bersih, tidak basah atau terkena minyak. 3. Aplikasikan Leukoplast pada area yang diinginkan dan rekatkan ke kulit atau alat dengan hati-hati. 4. Pastikan ujung-ujung plester sudah merekat dengan baik. No Reg: KEMENKES RI AKL 10902512676 Diproduksi oleh: BSN medical Limitada Colombia Diimpor oleh: PT Essity Hygiene and Health Indonesia Green Office Park 6, Wing B, Lantai 1, Zona 8-12, BSD Green Office Park, BSD City, Tangerang, Banten Untuk Fiksasi kulit sensitif, klik disini:  https://www.tokopedia.com/essity/leukopor-plester-rol-kertas-rol"
Essity Official Store,"Leukotape K adalah Kinesio tape/plester medis elastis yang telah berpengalaman dalam meredakan nyeri, mengatasi pembengkakan dan ketidaknyamanan dan meningkatkan fungsi gerak untuk penggunaan sehari-hari, di rumah sakit, maupun pada komunitas olahraga.  Leukotape K terbuat dari bahan katun dengan elastisitas yang tinggi dengan pola perekat bergelombang yang bekerja dengan baik mengikuti elastisitas alami kulit. Tape ini digunakan dengan teknik khusus, dan untuk hasil optimal aplikasi taping sangat disarankan dilakukan oleh tenaga medis terlatih.  Indikasi:   Trauma pergelangan kaki  Kerusakan tendon akibat terlalu sering digunakan  Cedera otot  Ketidakstabilan bahu  Nyeri punggung (misalnya sindrom tulang pinggang / tulang belakang leher)  Sakit kepala  Radang selubung tendon  Mengurangi pembengkakan limfe Kontraindikasi atau tidak boleh digunakan pada kondisi:   Tumor ganas  Penyakit kulit akut / kronis (misalnya infeksi jamur, eritema / erisipelas)  Kelainan pembuluh darah, misalnya trombosis, tromboflebitis  Alergi  Terapi obat tertentu, misalnya kortison  Radiasi / Kemoterapi  Demam yang tidak diketahui penyebabnya Keunggulan: - Setelah Leukotape K diaplikasikan, dapat tetap pada tempatnya sampai dengan 7 hari tergantung kondisi kulit, meskipun mandi atau berkeringat karena olahraga dan elastisitas longitudinal yang tinggi hingga 110%. - Mudah dipotong tanpa meninggalkan residu/berjumbai dan tidak meninggalkan residu perekat pada gunting.  - Cepat dan mudah diaplikasikan, cocok untuk setiap teknik taping kinesiologi. Merekat dengan baik.  - Bersifat menolak air dan breathable! Tembus udara dan lembap sehingga memungkinkan keringat menguap dan sirkulasi udara tetap baik.  - Ramah di kulit, dengan formulasi bebas lateks dan telah diujipada kulit KEMENKES RI AKL 10902028935"
Toko Alat Safety Di Jakarta,Kotak Obat P3k Mc 11+ Isi Paket Obat Hemat Type A 1 -RIVANOL: 1pcs -ALKOHOL:1pcs -MINYAK KAYU PUTIH:1pcs -HANSAPLAST:5pcs -PERBAN 10cm:1 pcs -KAPAS 25 gram:1 pcs -GUNTING Lipat : 1 pcs -Povidone/obat luka : 1 pcs -KASSA Steril:1 box /isi 10 pcs
Charlottie Medika,"Obat P3K + Isi Lengkap / Kotak p3k dinding lengkap KOTAK P3K + ISI model : bisa di gantung di dinding/ diletakkan diatas rak rumah anda, bisa juga untuk diletakkna dlm mobil buat di UKS sekolah juga bisa lhoo ukuran : 30 x 11 x 29cm sudah termasuk isi didalmya, mencakup : -RIVANOL -ALKOHOL -MINYAK KAYU PUTIH -HANSAPLAST -PERBAN -KAPAS -GUNTING -BETADINE -KASSA"
Toko Alat Safety Di Jakarta,"Kotak Obat P3K type A Standar tempat kerja Kotak P3K (Jenis kotak A standard), merupakan kotak P3K untuk 25 orang karyawan atau kurang. Sesuai dengan peraturan Menteri Tenaga Kerja dan Transmigrasi No. PER.15/MEN/VIII/2008, tentang Pertolongan Pertama pada Kecelakaan di tempat kerja. Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K, Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K, Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K, Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K, jenis A : - Kotak P3K Bahan Plastik - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - wa kosong delapan lima delapan 4181                   lima tiga sembilan lima - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh"
Acrylicworks Store,"Kotak Obat P3K Acrylic/Akrilik Mini Hospital Edition Kotak Obat Bahan Akrilik Spesifikasi: Bahan Acrylic Warna sesuai varian (Merah / Putih) Diaplikasi pada dinding atau diaplikasi pedestal (dimeja) Ukuran Rak: Panjang 60 cm Tinggi 40 cm dan Ketebalan 11,5 cm Acrylic 3 mm  Terdapat Sekat2 ruangan dalam rak (lihat gambar) dan pintu acrylic sleeding, buka kanan kiri bergantian Berguna untuk penyimpanan obat P3K dirumah maupun dikantor *obat dalam gambar hanya ilustrasi, tidak termasuk dalam item penjualan - Barang Selalu Ready - Packing Aman Sampai Tujuan - Barang Sesuai Foto Produk, Dijamin Kualitas Bagus Tampilan Menarik Silahkan Diorder Stok selalu tersedia Terimakasih Pintu Sleeding Mirip Etalase, Tidak perlu angkat-angkat pintu cukup geser bergantian kanan dan kiri Kondisi Terangkai Siap Pakai  Tersedia Model Lainnya, Silakan Kunjungi Link Berikut: Ukuran Custom WA di 085326566396 Untuk diskusi"
Toko Alat Safety Di Jakarta,Kotak obat p3k+isi type A lengkap termurah MC 15 kotak lebih besar kapasitasnya bisa buat dipakai type a b dan c harga diatas adalah isi lengkp type a dengan kotak terbaru mk 15 info detail isi bisa wa o85658869418
AcrylicWorks,"Kotak Obat P3K First Aid Kit Model LONDON TELEPHONE Small Size Spesifikasi : Bahan Full Acrylic Diaplikasi pada dinding atau diaplikasi pedestal (dimeja) Ukuran Rak TOTAL : Panjang 26.6 cm Tinggi 40 cm dan Ketebalan 12 cm Acrylic 3 mm dan 2 mm Kombinasi Terdapat Sekat sekat ruangan dalam rak sesuai gambar Berguna untuk penyimpanan sekaligus untuk hiasan ruangan Bahan Acrylic/Akrilik Mewah dan Elegant Tersedia ukuran Small, Medium dan Large Silahkan Diorder Stok selalu tersedia Pintu Engsel/Swing, Penutup menggunakan magnet neodium Kondisi Terangkai Siap Pakai *obat dalam gambar hanya ilustrasi, tidak termasuk dalam item penjualan Tersedia Model Lainnya"
AcrylicWorks,"Kotak Obat P3K Acrylic Ukuran Small  Kotak Obat Bahan Akrilik Spesifikasi : Bahan Acrylic Warna sesuai varian (Merah / Putih) Diaplikasi pada dinding atau diaplikasi pedestal (dimeja) Ukuran Rak : Panjang 30 cm Tinggi 35 cm dan Ketebalan 10 cm Acrylic 3 mm dan 2 mm Kombinasi Terdapat Sekat2 ruangan dalam rak Berguna untuk penyimpanan obat P3K dirumah maupun dikantor Tampilan Mewah dan Elegant Tersedia ukuran Medium dan Large Silahkan Diorder Stok selalu tersedia Pintu Sleeding Mirip Etalase, Tidak perlu angkat-angkat pintu cukup geser bergantian kanan dan kiri Kondisi Terangkai Siap Pakai Tersedia Model Lainnya, Silahkan Kunjungi Etalase Kami"
AcrylicWorks,"Kotak Obat P3K Acrylic/Akrilik Mini Hospital Edition Kotak Obat Bahan Akrilik - Barang Selalu Ready - Packing aman, Buuble + seterofoam luar Packing Triplek, Yang pasting aman - Barang Sesuai Foto Produk , Dijamin kualitas bagus Spesifikasi : Bahan Acrylic Warna sesuai varian (Merah / Putih) Diaplikasi pada dinding atau diaplikasi pedestal (dimeja) Ukuran Rak : Panjang 60 cm Tinggi 40 cm dan Ketebalan 11,5 cm Acrylic 3 mm Terdapat Sekat2 ruangan dalam rak (lihat gambar) dan pintu acrylic sleeding , buka kanan kiri bergantian Berguna untuk penyimpanan obat P3K dirumah maupun dikantor Tampilan Menarik Silahkan Diorder Stok selalu tersedia Terimakasih Pintu Sleeding Mirip Etalase, Tidak perlu angkat-angkat pintu cukup geser bergantian kanan dan kiri Kondisi Terangkai Siap Pakai"
Pusat Safety,"Diharapkan untuk membaca deskripsi produk dengan teliti terlebih dahulu sebelum membeli, supaya tidak terjadi kesalahan dalam bertransaksi di toko kami. kotak p3k first aid box sedang mk11 bahan : plastik warna : putih tutup : transparan cara pasang : digantung di dinding ukuran sedang (290 x 115 x 350 mm) berat : 4kg variasi tipe : - kotak p3k mk11 + isi tipe a - kotak p3k mk11 + isi tipe b - kotak p3k mk11 + isi tipe c - kotak p3k mk11 + isi standar -------------------------------------- ketentuan retur barang: 1. membawa nota pembelian. 2. barang dicek terlebih dahulu oleh pihak kami. 3. barang belum dipakai untuk kegiatan apapun (tidak boleh rusak/ dicuci/ dipakai). 4. produk dapat ditukar maksimal 3 hari setelah barang diterima. 5. tidak dapat pengembalian uang (Jika ingin tukar barang dengan penambahan uang bisa, kalau pengembalian tidak bisa). 6. untuk retur barang dengan pengiriman ongkos kirim pulang pergiditanggung pembeli. 7. barang dikirim terlebih dahulu ke tempat kami. 8. pengiriman hanya bisa melalui ekspedisi J&T (bayar ditempat) untuk pengiriman dari toko kami ke alamat penerima. 9. untuk produk sepatu merk kings by honeywell, cheetah, krushers, track , jogger tidak dapat melakukan retur barang. #kotakp3k #firstaidbox #boxp3k #boksp3k #kotakmedis #kotakobat #boksmedis #boxmedis #boksobat #boxobat #pusatsafety"
Toko Alat Safety Di Jakarta,kassa steril 20 pcs plaster 1.25cm 2 pcs plaster cepat 10 pcs kapas 25 gram 1 pcs gunting 1 pcs pinset 1 pcs y rins 1 pcs povidone 1 pcs alkohol 70%1 pcs minyak kayu putih 60ml 1 pcs panadol merah 1 strip panadol biru 1 strip counterpain gel cool 15 gram salapas promag 1 strip diapet 1 strip
