renter_name;renter_image;description
Ligero ID;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/7/9/024a05b2-c73b-4656-9378-af64348e063c.jpg;Casual & Sporty Military
Kim Berkah;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/10/31/b0e08717-fd7d-450f-b1a2-b352b65e8b3f.jpg;Kami Menyediakan Berbagai Kebutuhan Fashion Anda Semua dengan Kualitas n Model terbaru
R N MODISTE;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/5/28/c89c0ec6-9e8f-471c-a334-ddcc4c4c72ed.jpg;menjual berbagai macam kemeja dan celana. pria maupun wanita. produk kami langsung dari konfeksi sendiri. juga menerima custom model
VivantTacticalStore;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/12/25/c5fc3804-afe5-4f28-84b4-0c1ba3e13c49.jpg;"VIVANT TACTICAL STORE

PENYEDIA BERBAGAI MACAM APPAREL UNTUK KEBUTUHAN
BISNIS KERJA KANTORAN DAN LAPANGAN
KAMI PUN MENYEDIAKAN BERBAGAI PESA"
nusastorebekasi;https://images.tokopedia.net/img/cache/215-square/shops-1/2020/10/27/4422767/4422767_4acbf9bd-cf13-4189-89c2-2c20e0433945.jpg;Nusa Store Bekasi menjual  beraneka ragam produk.
eful.95 store;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/8/5/44fde6af-8e8c-4443-abc0-6b82eb4656a2.jpg;"selamat datang d toko kami menjual berbagai fashion jam oprasional dari 07.00-19,00
silahkan barang selalu redy 
langsung order sajah"
tombshopp;https://images.tokopedia.net/img/cache/215-square/shops-1/2018/5/24/3231711/3231711_3f80d7aa-0c6f-4459-ba23-cfda71c39333.jpg;Kepuasaan dan kenyamanan customer prioritas, open senin sampai jumat#HappyShoppiing#
FSH PRODUCTIONS;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/1/12/3db21467-a1ee-4df2-b6af-bbea1ccc8a1e.jpg;GROSIR ECERAN FASHION TACTICAL , NEW TACTICAL
Kemala-Fashion17;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/5/17/5a693a5b-0df4-4cbe-b965-10aab34decb5.jpg;"Assalamu'alaikum

Menjual aneka fashion pria berkualitas. Jadi jangan ragu untuk pesan dan follow juga toko kami ????

Terima kasih"
Bandung Fashion Murah;https://images.tokopedia.net/img/seller_no_logo_2.png;barang ready.. Langsung ATC aja ya ,kalaupun sedang kosong kita akan secepatnya mengkonfirmasi
G_TEORY;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/2/9/a6df1973-9499-4f2e-bf34-c7d627335623.png;tujuan kami hanya untuk meningkatkan kepuasan customer
Holmesmart;https://images.tokopedia.net/img/cache/215-square/shops-1/2021/7/27/634794/634794_ea8b4960-82ad-472e-907c-30b9a85e3b61.jpg;all you need is me for Enthusiast Racer
memuOnline;https://images.tokopedia.net/img/cache/215-square/shops-1/2021/1/27/9505530/9505530_ff83c489-7e4d-47df-b5ca-2d037737716e.jpg;Selama bisa diklik barang ready silakan langsung dipesan :)
RLTactical;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/2/8/e85878bc-07f4-4d4a-a9f1-e8b090349e84.jpg;Toko perlengkapan army military/hunting
BukiShopOfficial;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/6/15/167433e7-e6bb-4e09-9d05-5acc726f0c65.jpg;"Menerima Satuan, Custom Bordir Dengan Minimum Pemesanan, Partai Besar, Grosir Dan Eceran. 
Kepuasana Pelanggan Adalah Kebahagiaan Kami."
Suryanto Part;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/1/9/c646e036-6944-4119-b647-f91e36e0ee33.png;Menjual berbagai Sparepart Berkualitas dengan harga terjangkau ! silakan hub no WA 082186292881 sparepart mbil apa aja ada bos
Mueeza Gear;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/6/4/720a6704-8e6f-44ac-a57b-e342f24d127a.jpg;Menjual original fashion & accessories
ANT CAMO FASHION;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/1/4/5f06a6d3-d079-4008-85c8-943c9f0db69d.png;buka setiap hari 24 jam
Jajanan Bandung 17;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/9/1/76ced87b-9d67-4743-a61f-3192daff7517.jpg;Grosir Snack Bandung
deniicank;https://images.tokopedia.net/img/cache/215-square/shops-1/2016/5/19/1131255/1131255_8cb2df3f-b9cf-43ff-9104-bea596cb7135.jpg;kami produksi sendiri.jadi tangan pertama yg langsung menjual produk sendiri.jangan tergiur harga murah.krna kmi mengutamakan kualitas
arvilia house;https://images.tokopedia.net/img/cache/215-square/shops-1/2021/3/26/5022423/5022423_36e125a4-8e26-4bcc-b01f-ccf428f66216.jpg;Menyediakan Produk Impor Berkualitas dengan harga terbaik
littershop-ID;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/2/8/44445e4a-d673-46cb-a61d-38317246862b.png;mengapa harus beli di toko kami? 1. seller ramah dan respon cepat 2.pengiriman cepat 3. produk berkualitas 4. stock slalu ready
Kanarga Outdoor;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/5/27/7a68384b-697f-4d23-8355-6f1284d1b866.png;"Selamat Datang di Kanarga Outdoor Store

Kanarga Outdoor Store adalah akun resmi KANARGA di platform Tokopedia."
PD. YUDAUTAMA;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/8/31/6713041/6713041_1376afd5-d10d-40dd-8716-ad5d9ce445c8.jpg;menjual berbagai perlengkapan TNI, POLRI,PERCETAKAN, BORDIR DAN PERDAGANGAN UMUM
recexu;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/1/8/599ea614-a957-4256-b8d8-b7ce00cdc505.png;MENYEDIAKAN BERBAGAI BARANG BERKUALITAS , ORIGINAL 100% DAN HARGA PUN TERJANGKAU
zeaazzurashop;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/8/1/9bf997f9-d85a-4c14-a83e-8d0232d8386d.png;menjual baju anak anak
Fajar mulia12;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/1/27/6c9d7e78-44db-4330-8bb4-5a001f991b1e.png;"Barang yang masih di etalase ready ya kak, jangan ragu untuk order, jika masi ragu, chat untuk menanyakan jenis produk ..

Happy shopping :)"
widya box;https://images.tokopedia.net/img/seller_no_logo_0.png;kardus
Alvin Shop 13;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2021/4/26/8259b54c-e68c-49ed-8364-a4613960fb8a.jpg;Jaminan brng 100% original
KEMEJA_POLOS;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/8/5/29c09cd4-9b00-4c93-9a76-d8779a2afcda.jpg;"SELAMAT DATANG DI TOKO KAMI
"" KAMI MENERIMA PO PARTAI KECIL/BESAR FREE DESAIN""
(HUBUNGI ADMIN)
UNTUK PRODUK YANG ADA DI ETALASE READY STOK
"
othershopp;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/12/28/4fcd7219-ccb3-428b-a98a-54ccaa2273a6.png;Your ultimate online shopping destination
Dovverr;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/6/14/0233444e-1d80-48be-9144-5f34580dd762.png;adalah salah satu gudang online yang menjual barang importir yang berkualitas .
Hanaz Collection88;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/2/15/1825bb23-65a1-4de3-b24b-a6e10d9533aa.jpg;"Welcome in HanazCollection88!
Jangan ragu berbelanja di toko kami,ada garansi uang kembali ketika barang yg anda terima tdk sesuai deskripsi"
GNTS-Vapor-Store;https://images.tokopedia.net/img/cache/215-square/shops-1/2016/6/20/1226327/1226327_bbb87a37-28e3-4c1d-a5a8-e77eeee921a7.jpg;semua barang di etalase insyaallah ready semua
LapakCann;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/2/24/b58bbb01-6080-41c1-8d1d-818e63f24539.png;Baca terlebih dahulu deskripsi barang kami sebelum membeli,order=setuju kami tidak melayani retur dikarenakan kesalahan pembeli.
clara sanjaya;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/9/4/6697307/6697307_adeaea20-0acf-4dd2-bc73-123bf51fbc2c.jpg;menjual aneka baju import dan pernak pernik accesoris branded
C45store;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/11/19/d07728cb-cb24-47c1-8450-00e3a75fc158.png;"Ready
?Celana Tactical Series (Pendek & Panjang)
?Celana Tartan/Celana Kotak/Celana Korea (Pendek & Panjang)"
Ani cihareswa;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/1/18/656cc412-45ca-441d-a0b3-1ff59d036c5f.jpg;"SELAMAT DATANG DI TOKO KAMI MENJUAL BERBAGAI MACAM PERLENGKAPAN RUMAH DAN ELEKTRONIK,AKSESORIS,HOBI,KESEHATAN,
SELAMAT BELANJA????"
Heildy;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/11/10/f4398b12-2101-4c23-adf3-60c98a39dc2f.png;Heildy seller barang barang baru bagus new
Nur Octaviani 87;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/10/14/69b46508-516b-461c-83f5-a09966fbc157.jpg;Admin siap melayani 24 jam dengan sepenuh hati,Terimakasih telah belanja di toko kami
abzarstore;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/5/29/853e47ee-8d90-4281-9f1f-f3de55574077.png;"Baca terlebih dahulu deskripsi barang kami sebelum membeli,order=setuju kami tidak melayani retur dikarenakan kesalahan pembeli
"
riancell0;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/10/19/67180afb-1460-4342-a8fd-f2d3c36ae81f.png;"SELAMAT DATANG DI RIANCELLO

Temukan item barang kebutuhanmu sekarang juga, masukkan keranjang dan belanja sepuasnya."
Tactees Outdoor;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/10/22/f25f0fa9-23b6-4689-b640-c229b863549a.jpg;Tactees Outdoor adalah official platform kami di Tokopedia.Kami menjual fashion trendy dan terupdate dengan kualitas terbaik.
Camo Mase;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/5/6/ecd78097-9705-4b91-ad84-6645942ae870.jpg;Menjual Perlengkapan Olahraga Outdoor
GUDANG CAMPING;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2021/11/4/a269030b-ad99-4272-a725-73602119d03a.jpg;"Toko perlengkapan outdoor dan aktivitas luar ruang
Di jamin murah, original dan lengkap"
ranyurd;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/9/21/7bbc9745-04aa-47de-b7f4-5e4857b9ecfb.jpg;rayundtoko seller barang baru bagus murah
Liana Outlett;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/9/12/68cda8f5-91c7-4436-bba7-6de0abd1ee21.jpg;"Selamat datang di toko Liana Outlett

Menyediakan berbagai macam produk

Jam Operasional

Senin-Sabtu
08.00 - 16.00 WIB

Happy Shopping"
Jasmine Collection Store;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2021/9/6/94364694-c8f5-43fe-89c0-ad47a14648e9.jpg;Toko Busana terlengkap dan termurah, selalu ada model baru untuk anda yang stylish.
Warung Pasir;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/3/18/50274945/50274945_dff36d72-4327-4795-9578-cca8636c4d87.jpeg;Menyediakan berbagai macam pasir.
Wan BI Saka Market;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/3/14/aa848adc-18f6-4164-9465-4a0f5305cab6.jpg;Selamat datang di Wan BI Saka Market dengan harga terjangkau? Yuk, pesan di SINI aja! Kami siap menerima apapun permintaan kamu!
Fajri ganss;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/3/26/d544e3be-42d9-4f38-9399-f749134d0584.png;"insyaalloh toko kami amanah  ??
kita Tidak jual produk KW ya kakak.
barang di kita dijamin ORIGINAL semua ?? 
kami selalu ada untuk anda"
najla rajwa shop;https://images.tokopedia.net/img/cache/215-square/shops-1/2020/6/28/943954/943954_15b0ead6-f6d7-4377-9e40-73a41a18d1cf.jpg;Jual figur, buku, dll. Pengiriman maks 3 hari setelah transfer. Terima kasih.
Guard Store01;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/5/10/6b3b0df4-1c5e-436b-b356-7f66e8a7b93f.png;Selamat Datang Di toko Guard Store01. Belanja Mudah Dengan Produk Berkualitas Dan Original
OTOKO_FASHIONS;https://images.tokopedia.net/img/seller_no_logo_3.png;Toko Fashion Berkualitas Dengan Harga Terjangkau
KJ Amanah;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2020/12/28/15ccd3b8-5d9c-4b85-afbe-dfd64eae6dcc.jpg;"Hanya belanja di toko kami dg GRATIS ONGKIR tiada henti. 
Jangan lupa Follow dan Like produk di toko kami dan dapatkan DISKON & CASHBACK"
Shunichii Mall;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/10/6/e5712da5-c787-4140-b7d0-679d83ad1682.jpg;"Selamat Datang di toko kami , kami buka 24 jam Silahkan tanyakan ketersediaan produk terlebih dahulu untuk memastikan stok 
HAPPY SHOPPING"
aliicon23;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/7/13/8b22eeba-648b-44b6-8073-f92f49a16684.png;Kami menjual berbagai jenis barang dengan kualitas yang bagus
Lapak Omon saputra;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/2/5/988e4523-0c1a-4a03-9dc2-7e18fe1be6fe.png;"- Kami adalah importir		
- Menjual produk dgn harga grosir			
- Dropshiper are welcome		
- Restock setiap minggu, warna ready selalu"
BANDUNG MILITARY (BM);https://images.tokopedia.net/img/cache/215-square/GAnVPX/2022/2/8/6d4de636-e651-4089-b3d7-46a4fecec480.png;"Kami Menyediakan Berbagai Fashion Taktikal, Safety, Keperluan Dinas, Pemda, Satpam dan Outdoor Lain
Custom Khusus Via WA Owner 0856-1353-301"
Serious Only;https://images.tokopedia.net/img/seller_no_logo_2.png;semua barang dijamin barang resmi distributor, original dan baru 
caesaronlineshop;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2021/6/5/5857691f-c894-4934-8929-4d8aab4b8049.jpg;"CAESAR (ONLINESHOP) melayani :
> Order Ecer / Grosir
> PO estimasi produksi 2-3 minggu (costum desain)
> Dropship
> Reseller"
Penglarisan Tokoku;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/2/1/166e435b-e4a2-419f-9112-c15d71197421.png;"- Kami adalah importir		
- Menjual produk dgn harga grosir			
- Dropshiper are welcome		
- Restock setiap minggu, warna ready selalu	"
cahayaolshoop;https://images.tokopedia.net/img/cache/215-square/shops-1/2018/8/11/38361569/38361569_bf86fa89-0d06-49b6-9d40-d1e375a75798.jpg;kami akan sebaik mungkin melayani pembeli . anda sabar saya senang!! 
Juragan Syamsiah;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/2/6/5df694eb-4537-4f96-bed8-37a82993ee18.png;"- Kami adalah importir		
- Menjual produk dgn harga grosir			
- Dropshiper are welcome		
- Restock setiap minggu, warna ready selalu			"
GmpWricok;https://images.tokopedia.net/img/seller_no_logo_0.png;Semua pesanan yang masuk akan diproses di hari yang sama sesuai waktu operasional, di luar hal itu diproses pada hari berikutnya.
keisha aulia;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/6/19/3589054/3589054_61b1943f-c7aa-4b82-be24-8cabc0ea71f6.jpg;Keisha_fashion adalah distributor tas wanita tali tas/celena pria/celana wanita/jaket import kulitas premiumJangan ragu untuk berbelanja.
aipMILITARY;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/4/29/49476500/49476500_e7c26e45-f10f-4ba2-ae24-8c0d84af48d3.jpg;AIPMILITARY .. menyediakan produk produk tactical dengan harga grosiran dan kualitas produk pun kami jamin nomer 1 dari bahan sampe jahitan
Nadira Mini Online;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/12/28/c7828b26-c773-4047-8a87-1a03cd896afe.png;Kami tidak hanya menawarkan produk, tetapi juga gaya hidup. Temukan gaya hidup Anda di toko online kami.
boomie mart;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/4/25/b3983465-9fce-4f26-a793-27eecb44607a.jpg;"Tanyakan stok terlebih dahulu sebelum memesan
Weekend libur, akan diproses keesokan harinya jika ada pesanan
Happy shopping"
DENOKDENOK;https://images.tokopedia.net/img/seller_no_logo_1.png;PENGIRIMAN DARI SURABAYA
gilangaza;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/3/17/25cf95f3-6ff5-494a-a3e9-afc727489b0b.png;Untuk produk super dan berkualitas percayakan pada toko kami.. toko kami aman amanah dan terpercaya
milan shoping;https://images.tokopedia.net/img/cache/215-square/shops-1/2020/3/29/8113402/8113402_c205cfe7-288d-46f2-bbde-fa8d63062aa9.jpg;Menjual berbagai mcam perlengkapan RUMAH TANGGA, ASESORIS OLAHRAGA, FOTOGRAFI, FASHION pria dan wanita.serta barang UNIK dan MENARIK lainnya
arsoutdoor;https://images.tokopedia.net/img/cache/215-square/shops-1/2017/12/4/25278813/25278813_20b16ae3-41f2-420a-a57a-0251e116c753.jpeg;ARS Outdoor menyediakan peralatan outdoor dan adventure, juga menyediakan paket pendakian, rafting dan outbond.
BILBO OUTDOORS;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/3/12/33409436/33409436_6d08295e-733b-428c-8b9c-88c24e0384a5.jpg;"BILBO OUTDOORS adalah Toko dan Rental alat-alat outdoor yang berada di Surabaya

Basecamp :
Jl.putat Jaya Barat X b/4
info: WA 081232725488"
Solilokuibuku;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/1/15/18e6b508-11b9-4d01-a54b-ae9fbccb04e4.png;Lapak Buku-Buku Sastra, Seni, Budaya, Sejarah, Sosial dan Politik.
Muchiron;https://images.tokopedia.net/img/cache/215-square/shops-1/2019/6/27/1652272/1652272_57a172c6-964f-45b0-b2ab-3b1bba3469fb.jpg;Menyiadan perlengkapan outdoor wa : 087786181410 ig:#muchiron
penjelajah_tropis;https://images.tokopedia.net/img/cache/215-square/shops-1/2021/4/7/2883785/2883785_2c87d44c-9d0e-4a9c-bfa6-f69491ad2abe.jpg;Menjual berbagai macam peralatan outdoor
solotactical;https://images.tokopedia.net/img/cache/215-square/shops-1/2021/7/7/620791/620791_d9f7f6d5-017a-47dd-ae09-e289fcb8fcae.jpg;#SMS/WA : 081329999010
nomi2;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2024/2/28/0b3e657a-84cd-4e3f-a072-130088074ee2.png;"Retail & Grosir dengan harga yang memuaskan pembeli
"
suhuks store id;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/7/26/63561f7f-716d-4db5-90cc-69b8c101bcf2.png;"Hi, guys! Silahkan tanya dulu yah kalau ada barang yang agan mau. Nanti kita cek dulu stock barangnya. Thanks, guys...!!
"
Quinn Shop Indonesia;https://images.tokopedia.net/img/cache/215-square/shops-1/2018/12/8/4961820/4961820_d903065c-e633-4d1f-8f18-36f69c52adbc.jpg;Menjual segala macam keperluan Baju anak remaja dewasa, computer, smart phone, watch, elektronik, fashion, mainan blok, parfum, etc
Tajii Mall;https://images.tokopedia.net/img/cache/215-square/GAnVPX/2023/10/5/c99a3949-7170-4062-a055-7840c97435fd.jpg;"Jam Operasinal Toko: 08.00-24.00 WIB
Waktu Pengiriman, setiap hari kecuali Libur maksimal Jam: 17.00 WIB
Melayani Orderan SPK/Faktur Pajak"
